indtypeName,entName
14.0,广州韩一文化有限公司
1.0,南关区顺合泰食品店
0.0,沃尔玛（广东）商业零售有限公司肇庆广宁环城东路分店
24.0,白山市老豆翁绿色食品有限公司
0.0,东莞市正天医药有限公司东城主山分店
0.0,潮州市潮之金贸易有限公司
0.0,四会市仟佰色珠宝店
4.0,嘉陵区李渡镇爱汇婚礼
5.0,大邑县安仁镇阿鑫理发店
0.0,柳河县柳河镇叮当宠物猫店
1.0,松原市经济技术开发区梓亿优品农产品经销店
27.0,广州春雨防水补漏有限公司
0.0,广州唯品会电子商务有限公司
0.0,南充市顺庆区红黑格楼梯经营部
0.0,泸州市龙马潭区永信车行
25.0,一汽—大众汽车有限公司
3.0,克拉玛依区林萍哨子面三店
3.0,白城市华莱士（瑞光商贸城店）
0.0,大邑县晋原镇巨有面包店
2.0,深圳百寿健康信息技术有限公司
1.0,佛山市山雪电子商务有限公司
23.0,深圳市中知教育科技有限公司
3.0,新疆百富餐饮股份有限公司乌鲁木齐市仓房沟路餐厅
5.0,珠海市香洲区南屏镇北山远元修脚店
1.0,广东妍姿日化有限公司
3.0,惠州市仲恺高新区老杨汇锋肠粉店
25.0,广汽丰田汽车有限公司
0.0,惠州酷友网络科技有限公司
1.0,广州优盛贸易有限公司
1.0,四会市瑶玉珠宝店
0.0,昌吉市八点半美佳便利店
1.0,惠州市九典臻匠家具有限公司
1.0,广州市名声声商贸有限公司
1.0,深圳市伊塔科技有限公司
5.0,英德市英伦城堡摄影有限公司
9.0,深圳市凯度电器有限公司
0.0,尉犁县遂州超市
0.0,广州唯品会电子商务有限公司
0.0,广州市增城甜新食品店
1.0,广州市凯温丝电子商务有限公司
1.0,广州季莓贸易有限公司
0.0,四会市浩燕珠宝店
1.0,肇庆市创靓装饰材料有限公司四会吾悦分公司
0.0,深圳市宝安区九号粮油店
0.0,旌阳区新民友车行
1.0,广州大乐电子商务有限公司
1.0,惠州市嘉杰农资有限公司
3.0,罗江区刘闲得自助烤肉店
0.0,广州市海珠区糜兔贸易商行
0.0,佛山市超佳品先汽车零配件有限公司
4.0,长春金拱门食品有限公司
6.0,惠州大亚湾天烁蝴蝶科技工作室
10.0,吉林昌邑万达广场投资有限公司
20.0,广安市广安区亿车汽车服务有限责任公司
1.0,美的集团电子商务有限公司
1.0,瑞丽市润阳珠宝店
0.0,新疆壹都汇商贸有限公司
3.0,珲春市顺和天下共享炸串坊
5.0,自流井区妈妈十二愿美容院
4.0,深圳市午后餐饮管理有限公司
1.0,广州久仙化妆品有限公司
9.0,东莞市东城安特讯电子制品厂
0.0,宽城区仁缘食品行
0.0,大安区天力西饼店
1.0,乌鲁木齐永顺德贸易发展有限公司
3.0,深圳市南山区沙县蒸饺王店
4.0,许留山餐饮管理（深圳）有限公司
1.0,辽源市美隆水果生鲜有限公司
0.0,广州市南沙区像素古着服装店
0.0,阜康市步行街七匹狼服装店
1.0,广州鼎晟餐饮设备有限公司
0.0,怀集县怀城街道鹿鼎记商贸行
3.0,东莞市石排居肉町餐饮服务店
1.0,一汽大众销售有限责任公司
0.0,旌阳区超越防水材料经营部
1.0,广州南日恒贸易有限公司
4.0,广州曜非悦商旅有限公司
0.0,深圳市仕轩舟科技有限公司
2.0,广州糯米云信息科技有限公司
1.0,深圳市信大遥成科技有限公司
0.0,高新区（新市区）鲤鱼山南路鑫荣商店
0.0,怀集县怀城街道鸿业家居装饰材料部
0.0,深圳市远万贸易有限公司
0.0,吉林省福临医疗器械有限公司
3.0,四平市铁东区李连贵熏肉大饼店
1.0,吉林市洪城地产置业有限公司财富购物广场分公司
0.0,东莞市辅仁大药房有限公司
5.0,深圳市民治蕊特恩美容有限公司
2.0,深圳市捷顺科技实业股份有限公司
0.0,罗定市罗平镇伊藤日用品商行
1.0,广州市穗水商贸有限公司
1.0,成都国美电器有限公司双楠商城
0.0,广州唯品会电子商务有限公司
0.0,长春欧亚卖场有限责任公司
1.0,宽城区佳宜厨卫店
10.0,新疆海大物业服务有限公司
2.0,深圳市华车出行科技有限公司
12.0,麦趣尔集团股份有限公司
3.0,锦江区兄弟俩餐饮店
1.0,深圳竹芒科技有限公司
4.0,南充王府井购物中心管理有限公司
